district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Rashidan",09,11,"قریه",1109088,"Hussain Khel","Hussain Khel Village Mosque","Ghazni",2,0,2,"Village",68.214541,33.704203,1
"Qara Bagh",11,11,"تعمیر",1111140,"Gamishak Village","Gumishak Village Old Mosque","Ghazni",0,3,3,"Building",67.924473,33.157649,1
"Qara Bagh",11,11,"تعمیر",1111141,"Gamishak Village","Gumishak Village New Mosque","Ghazni",3,0,3,"Building",67.925820,33.157666,1
"Qara Bagh",11,11,"قریه",1111164,"Marbolaagh Village","Marbolaagh Village New Mosque","Ghazni",0,2,2,"Village",68.187339,33.284166,1
"Giro",12,11,"تعمیر",1112199,"Musa Khel Village","Musa Khel Village Mosque","Ghazni",3,0,3,"Building",68.350427,33.131580,1
"Giro",12,11,"قریه",1112200,"Azamat Village","Azamat Village Primary School","Ghazni",0,2,2,"Village",68.255902,33.081478,1
"Gelan",17,11,"تعمیر",1117391,"Hotak Village","Hotak Village Mosque","Ghazni",1,3,4,"Building",67.692262,32.645554,1
"Gelan",17,11,"تعمیر",1117392,"Hotak Khel Village","Hotak Khel Village Mosque","Ghazni",1,2,3,"Building",67.681531,32.637742,1
"Ajristan",18,11,"ولسوالی",1118290,"Gameshak Village","Gameshak Village High School","Ghazni",2,3,5,"District",67.246828,33.505241,1
"Muqur",15,11,"قریه",1115364,"Larrka Village","Larga School","Ghazni",1,2,3,"Village",67.694557,33.026225,1
"Noor Gram",04,16,"قریه",1604014,"Dusto","Pashgar Health Clinic","Nooristan",1,1,2,"Village",70.323881,35.005056,1
"Noor Gram",04,16,"قریه",1604015,"Chayel","Shama","Nooristan",1,2,3,"Village",70.297292,35.037600,1
"Noor Gram",04,16,"تعمیر",1604018,"Koltan","Koltan School","Nooristan",1,1,2,"Building",70.531660,35.098753,1
"Mandol",07,16,"تعمیر",1607049,"Pacha Village","Pacha Village Malak House","Nooristan",1,1,2,"Building",70.285484,35.389297,1
"Mandol",07,16,"قریه",1607050,"Mangor Village","Magor Village Mosque","Nooristan",1,1,2,"Village",70.255279,35.371910,1
"Mandol",07,16,"قریه",1607054,"Gezin Village","Gezin Village Mosque","Nooristan",1,1,2,"Village",70.302567,35.401619,1
"Duab",05,16,"قریه",1605021,"Dahan-E-Mawi","Dahan-E-Mawi Clinic","Nooristan",1,1,2,"Village",70.341970,35.193286,1
"Duab",05,16,"قریه",1605022,"Shah Des Bijigal","Shah Des Mosque","Nooristan",1,2,3,"Village",70.398008,35.123916,1
"Paroon",01,16,"قریه",1601002,"Chatras","Chatras Primary School","Nooristan",1,2,3,"Village",70.892470,35.231326,1
