لباک,14408,389584,64811,329,904,59107,248220,3530,3962,838,1466,787159
101061,3,447,109,0,1,29,636,6,0,0,0,1231
1,2,185,33,0,1,9,189,2,0,0,0,421
2,1,137,41,0,0,8,200,2,0,0,0,389
3,0,66,19,0,0,5,125,0,0,0,0,215
4,0,59,16,0,0,7,122,2,0,0,0,206
101062,15,1328,320,2,2,50,1277,11,6,1,3,3015
1,9,239,70,0,0,14,253,0,2,0,0,587
2,4,161,39,1,0,8,194,1,2,0,1,411
3,1,119,33,0,0,8,117,0,0,0,1,279
4,1,201,38,0,0,7,139,3,1,0,0,390
5,0,120,25,0,0,10,100,0,0,0,1,256
6,0,145,27,0,2,0,149,3,0,0,0,326
7,0,129,44,0,0,1,131,2,1,0,0,308
9,0,214,44,1,0,2,194,2,0,1,0,458
101063,5,1153,70,0,1,37,258,3,8,2,2,1539
1,0,283,22,0,0,13,95,0,5,0,1,419
2,3,201,14,0,1,6,40,0,1,0,1,267
3,1,200,6,0,0,8,43,2,0,0,0,260
4,1,109,9,0,0,8,21,0,2,0,0,150
5,0,126,11,0,0,0,26,1,0,1,0,165
6,0,140,4,0,0,0,18,0,0,1,0,163
7,0,94,4,0,0,2,15,0,0,0,0,115
101064,33,1075,100,1,2,88,872,4,11,2,2,2190
1,5,140,14,0,0,6,146,0,2,1,1,315
2,10,217,13,1,0,20,164,0,3,1,1,430
3,3,249,25,0,0,28,174,2,1,0,0,482
4,14,185,17,0,1,21,131,1,2,0,0,372
5,0,97,9,0,1,5,121,0,0,0,0,233
6,0,135,8,0,0,5,85,1,1,0,0,235
7,1,52,14,0,0,3,51,0,2,0,0,123
101065,14,840,162,0,2,43,309,9,11,1,2,1393
1,1,126,11,0,0,5,52,0,0,0,0,195
2,2,176,41,0,1,5,62,3,1,0,0,291
3,5,188,49,0,0,20,72,1,1,1,0,337
4,3,151,17,0,1,8,51,3,7,0,1,242
5,1,73,10,0,0,2,14,1,2,0,0,103
6,1,70,25,0,0,1,37,1,0,0,1,136
7,1,56,9,0,0,2,21,0,0,0,0,89
101066,20,1044,149,0,2,64,331,3,3,1,0,1617
1,2,165,25,0,0,6,45,1,0,0,0,244
2,5,274,39,0,2,16,85,0,0,1,0,422
3,6,223,27,0,0,15,63,1,1,0,0,336
4,1,129,20,0,0,0,48,0,2,0,0,200
5,6,253,38,0,0,27,90,1,0,0,0,415
101067,17,336,75,3,0,35,179,2,44,0,0,691
1,5,144,27,0,0,17,70,1,19,0,0,283
2,5,153,29,2,0,18,93,0,24,0,0,324
3,5,17,12,1,0,0,6,1,0,0,0,42
4,2,22,7,0,0,0,10,0,1,0,0,42
101068,10,451,277,0,0,39,365,6,4,0,2,1154
1,5,183,105,0,0,20,138,3,1,0,1,456
2,5,143,108,0,0,17,132,1,3,0,0,409
3,0,74,39,0,0,1,55,1,0,0,1,171
4,0,51,25,0,0,1,40,1,0,0,0,118
101069,5,240,88,2,1,24,131,1,2,0,2,496
1,3,123,26,1,0,14,75,1,0,0,2,245
2,2,73,13,1,1,10,41,0,1,0,0,142
3,0,44,49,0,0,0,15,0,1,0,0,109
101070,58,985,122,0,1,500,753,9,24,0,4,2456
1,17,192,20,0,0,122,209,0,4,0,1,565
2,14,185,27,0,0,115,219,3,4,0,1,568
3,26,188,33,0,1,148,163,1,9,0,1,570
4,0,102,17,0,0,41,55,4,0,0,1,220
5,0,118,9,0,0,30,37,1,0,0,0,195
6,1,200,16,0,0,44,70,0,7,0,0,338
101071,3,1098,213,3,0,26,224,17,5,0,5,1594
1,1,346,50,1,0,15,88,4,1,0,2,508
2,0,310,96,2,0,9,74,4,3,0,3,501
3,2,442,67,0,0,2,62,9,1,0,0,585
101072,7,734,131,0,0,36,224,2,6,1,2,1143
1,1,369,57,0,0,15,118,0,1,0,0,561
2,6,365,74,0,0,21,106,2,5,1,2,582
101073,75,645,111,0,1,551,887,12,20,0,3,2305
1,17,136,32,0,0,154,222,2,9,0,1,573
2,27,152,28,0,0,145,199,4,5,0,0,560
3,0,133,24,0,0,139,247,2,4,0,2,551
4,11,112,12,0,0,26,77,4,0,0,0,242
5,13,26,2,0,0,41,73,0,2,0,0,157
6,7,86,13,0,1,46,69,0,0,0,0,222
101074,40,1061,163,2,0,193,1604,5,4,0,2,3074
1,7,173,33,1,0,48,234,1,0,0,0,497
2,6,118,23,0,0,31,195,1,2,0,0,376
3,8,214,24,0,0,32,236,0,0,0,1,515
4,7,226,16,0,0,46,289,1,1,0,1,587
5,5,148,28,0,0,23,272,0,0,0,0,476
6,6,89,19,1,0,1,209,1,0,0,0,326
7,1,93,20,0,0,12,169,1,1,0,0,297
101075,24,657,99,0,0,131,419,10,7,2,1,1350
1,8,130,27,0,0,33,108,1,2,1,1,311
2,14,130,19,0,0,0,113,3,0,0,0,279
3,2,155,27,0,0,71,116,3,3,0,0,377
4,0,242,26,0,0,27,82,3,2,1,0,383
101076,55,298,86,0,2,209,716,4,6,2,3,1381
1,20,48,20,0,0,59,170,0,3,0,1,321
2,5,129,33,0,0,45,268,3,0,0,0,483
3,30,121,33,0,2,105,278,1,3,2,2,577
101077,24,929,214,2,0,88,577,8,9,0,3,1854
1,2,191,36,0,0,30,154,4,2,0,0,419
2,11,263,43,2,0,26,173,1,3,0,0,522
3,7,232,48,0,0,28,132,1,0,0,1,449
4,0,104,33,0,0,2,57,1,0,0,0,197
5,0,59,20,0,0,2,17,0,0,0,1,99
6,4,80,34,0,0,0,44,1,4,0,1,168
101078,56,385,104,2,2,413,464,4,9,5,3,1447
1,29,132,44,2,0,168,198,1,4,1,0,579
2,25,120,34,0,0,184,176,1,5,0,3,548
4,0,56,12,0,0,25,44,1,0,0,0,138
5,1,31,9,0,0,12,18,0,0,3,0,74
6,1,46,5,0,2,24,28,1,0,1,0,108
101079,50,252,120,0,1,446,496,6,4,1,3,1379
1,24,85,51,0,0,173,220,4,2,1,1,561
2,24,84,59,0,1,196,201,1,0,0,1,567
3,2,83,10,0,0,77,75,1,2,0,1,251
101080,48,537,64,2,1,310,414,6,5,1,1,1389
1,15,188,22,0,0,136,147,0,2,0,0,510
2,20,161,20,0,1,101,148,2,3,1,0,457
3,13,188,22,2,0,73,119,4,0,0,1,422
101081,10,206,50,0,1,284,455,1,7,2,1,1017
1,6,71,18,0,1,92,173,0,1,1,0,363
2,4,78,17,0,0,106,159,0,2,1,0,367
3,0,57,15,0,0,86,123,1,4,0,1,287
101082,22,831,146,2,2,285,993,9,6,2,6,2304
1,2,210,35,1,0,73,261,3,0,1,1,587
2,8,169,25,0,1,74,219,1,0,0,1,498
3,5,199,42,0,0,64,271,0,2,0,2,585
4,2,103,18,0,1,20,75,2,2,1,0,224
5,2,87,16,1,0,33,79,2,0,0,2,222
6,3,63,10,0,0,21,88,1,2,0,0,188
101083,36,523,54,0,0,455,357,2,7,0,2,1436
1,22,188,23,0,0,203,149,1,4,0,0,590
2,14,188,19,0,0,201,148,0,3,0,2,575
3,0,147,12,0,0,51,60,1,0,0,0,271
101084,30,291,51,0,2,157,302,6,4,0,5,848
1,25,167,30,0,2,116,225,4,4,0,2,575
2,5,124,21,0,0,41,77,2,0,0,3,273
101085,31,172,41,0,0,258,222,3,6,0,0,733
1,23,119,37,0,0,217,173,1,6,0,0,576
2,8,53,4,0,0,41,49,2,0,0,0,157
101086,46,567,207,1,0,107,561,13,11,1,2,1516
2,23,97,33,0,0,31,172,2,4,0,0,362
3,4,102,16,0,0,21,134,0,3,0,1,281
4,18,106,30,1,0,23,73,3,2,0,1,257
5,0,95,23,0,0,8,61,4,0,0,0,191
6,0,61,20,0,0,6,34,2,1,0,0,124
7,1,51,49,0,0,12,56,2,1,0,0,172
8,0,55,36,0,0,6,31,0,0,1,0,129
101087,13,525,156,3,1,147,551,7,6,0,0,1409
1,0,15,4,0,0,4,26,2,0,0,0,51
2,6,145,44,0,0,52,133,1,1,0,0,382
3,0,54,12,0,0,7,31,1,0,0,0,105
4,7,154,43,1,0,45,159,1,4,0,0,414
5,0,59,27,0,0,11,96,0,0,0,0,193
