no.;no_province;district;province;prov_id;vrc_code;vrc_name;location;lat;lon
262;2;Sayad;Sar e Pul;22;2202002;Mula Sakhidad Femal School;District;36.14023367;65.8321383
263;3;Kohestanat;Sar e Pul;22;2203003;Hemat High School Deh Surkh Village;District;35.76667834;65.7717926
264;4;Sozmaqala;Sar e Pul;22;2204004;Mohammad Amin Shahid high school;District;36.09592931;66.2250358
265;5;Gosfandi;Sar e Pul;22;2206005;Qutan Mast Male high school;District;35.93926276;66.5194206
266;6;Balkhab;Sar e Pul;22;2207006;Sayed Jamaludin High school;District;35.5032326;66.5204099
267;7;Sancharak(sang;Sar e Pul;22;2205007;mohammad sharif samim high school;District;35.94983207;66.4175824
268;1;Chaghcharan;Ghor;23;2301001;IEC Ghor Provincial Office;Province Cent;34.52130456;65.2587696
269;2;Charsadra;Ghor;23;2304002;Gul Tapa School District Center;District;35.12916178;65.0171115
270;3;DoLayna;Ghor;23;2302003;Gardend Halang High School, Dolina District center;District;34.156644;64.783472
271;4;Dawlatyar;Ghor;23;2303004;Old Daolat yar School District Center;District;34.55388889;65.7852778
272;5;Shahrak;Ghor;23;2306005;District High School District Center;District;34.10818351;64.3100254
273;6;Taywarah;Ghor;23;2308006;Pase qala high School District center;District;33.52472222;64.4194444
274;7;Pasaband;Ghor;23;2305007;District Center of Bazar kuhna Shenkot Fazaye Azad;District;33.69222222;64.8494444
275;8;Lal Wa Sarjanga;Ghor;23;2307008;Lal wa Sare Jangul Jame Masjed District Center;District;34.49649443;66.2816428
276;9;Tolak;Ghor;23;2309009;District high school District center;District;33.97138889;63.7194444
277;10;Saghar;Ghor;23;2310010;Shekh Mohammad Saghary School District center;District;33.69138889;63.8608333
278;1;Nili;Daykundi;24;2401001;IEC Provincial office;Province Cent;33.72355483;66.1427327
279;2;Ashtarlay;Daykundi;24;2404002;Shaikhmeran Village(Mosque);District;34.04522083;66.2376162
280;3;Khadir;Daykundi;24;2405003;Khedir Sofla (Mosque);District;33.92289144;65.9321571
281;4;kiti;Daykundi;24;2406004;Sarteghan Village (Mosque);District;33.51402613;65.6775784
282;6;Shahrestan;Daykundi;24;2402006;Ulqan Village (Mosque);District;33.69587276;66.5492263
283;7;Sang e Takht;Daykundi;24;2408007;Shenia Qala Village(Mosque);District;34.1886093;65.8167895
284;8;Kajran;Daykundi;24;2409008;Bulagh Shajoi (Mosque);District;33.20630388;65.4690505
285;9;Miramor;Daykundi;24;2407009;Tgab Village (School);District;33.81171062;66.7846222
286;10;Gizab;Daykundi;24;2403010;Tamazan Village (Mosque);District;33.64963515;66.0842521
287;1;Tirinkot;Uruzgan;25;2501001;IEC Uruzgan Provincial Office;Province Cent;32.63226049;65.8803972
288;2;Chora;Uruzgan;25;2503002;center District High school;District;32.86317758;66.0448695
289;3;Chora;Uruzgan;25;2506003;center District Faizmohammad School;District;32.73885827;66.2806225
290;4;Shahid e Hassa;Uruzgan;25;2504004;center District School;District;32.939945;65.564029
291;5;Dehrawud;Uruzgan;25;2502005;center District School Shernwo;District;32.62421033;65.4563544
292;6;Khasuruzgan;Uruzgan;25;2505006;center District School Shazman;District;32.9264863;66.6325758
293;1;Qalat;Zabul;26;2601001;Bibi Khala Laisa & Shiekh Mati High School;Province Cent;32.10413282;66.9052303
294;2;Arghandab;Zabul;26;2605002;Di afghanan clinic;District;32.44835781;66.8786279
295;3;Mizan;Zabul;26;2604003;Nawai Alam Gul School Mizan;District;32.17625737;66.5136746
296;4;Tarnak Wa Jald;Zabul;26;2602004;Zarghoona Ana Laisa Tarnak Wa Jaldak;District;31.8064404;66.326849
297;5;Shinkay;Zabul;26;2603005;Shah Alam Laisa Shinkai;District;31.98389326;67.336712
298;6;Shahjoy;Zabul;26;2606006;Baba Hotak Laisa Shajoy;District;32.52005285;67.4136942
299;7;Kakar;Zabul;26;2611007;District School Kakar;District;32.83846507;67.0770481
300;8;Daychopan;Zabul;26;2607008;Bai Lugh High School Daychoopan;District;32.62934135;66.7644142
301;9;Atghar;Zabul;26;2608009;District Center Ataghar;District;31.73459651;67.3583897
302;10;Shomulzay;Zabul;26;2610010;District Clainic Shomulzai;District;31.90911816;67.6457895
303;11;Nawbahar;Zabul;26;2609011;District Clainic Nawbahar;District;32.21128539;67.6344963
304;1;Sharan;Paktika;12;1201001;IEC Provincial Office;Province Cent;33.17154717;68.7867357
305;2;Matakhan;Paktika;12;1202002;Distrect bazar mosque, matakhan;District;33.24058104;68.8673947
306;3;Yosufkhel;Paktika;12;1203003;Yosif khil center mosque ,Bazi wani;District;33.06674136;68.6748639
307;4;Sarrawzah(Sarh;Paktika;12;1205004;Masto khn valige sarozi clinic;District;32.97395242;69.0685507
308;5;Zarghunshahr;Paktika;12;1207005;Distrect center, bazar mosque;District;32.85177645;68.4564055
309;6;Yahyakhel;Paktika;12;1204006;Distrect center mohammad yaqub mosque;District;32.9436582;68.6396306
310;7;Omna;Paktika;12;1206007;Distrect buliding;District;32.89894994;68.7910461
311;8;Gomal;Paktika;12;1208008;Khairmanzai valige primary ali zay school;District;32.63230194;68.8718539
312;9;Sarobi;Paktika;12;1210009;Distrect center , Sodwalkhil central high school;District;32.79837004;69.0859035
313;10;Urgun;Paktika;12;1211010;Distrect center barakat valige Palish school;District;32.9535541;69.1708317
314;11;Naka;Paktika;12;1213011;District Center;District;33.18975;69.26015
315;12;Janikhel;Paktika;12;1209012;Distrect center, Jani khil Bazar mosque;District;32.76416768;68.4006236
316;13;Wazakhah;Paktika;12;1217013;Distrect center, wazi khowa school;District;32.19583333;68.3633333
317;14;Wormamay;Paktika;12;1218014;Distrect center cheeni primary school;District;32.08999417;68.6765277
318;15;Bermel;Paktika;12;1214015;Nawai Adae Jamahat, District center;District;32.64351172;69.2577
319;16;Gyan;Paktika;12;1215016;Distrect center Gayan mosque;District;32.97745255;69.3726434
320;17;Ziruk;Paktika;12;1212017;Zerok school , khodaki bagh;District;33.15783467;69.307061
321;18;Dila;Paktika;12;1216018;Distrect center ,Health Clinic;District;32.68818647;68.2421277
322;19;Turwo (Tarwe);Paktika;12;1219019;Distrect center Terway kely school;District;31.79392757;68.4018619
323;1;Khost(Matun);Khost;14;1401001;IEC PO warehouse;Province Cent;33.34186902;69.9005502
324;2;Sabari;Khost;14;1407002;District Center , Khalbisat;District;33.4921632;70.0014456
325;3;Musakhel;Khost;14;1405003;Musa Khail district central mosq;District;33.54000412;69.7318127
326;4;Nadirshahkot;Khost;14;1406004;school, almara;District;33.30389208;69.6540789
327;5;Mandozayi;Khost;14;1402005;mosque, Hasan Muhammad;District;33.30191328;69.7672888
328;6;Tani;Khost;14;1404006;relegiouse school (madrasah);District;33.2406415;69.8259106
329;7;Gurbuz;Khost;14;1403007;Shikh Ameer Higha School;District;33.27805556;69.9155556
330;8;Terezayi;Khost;14;1408008;central garden, Balawat;District;33.41978328;70.1338105
331;9;Qalandar;Khost;14;1410009;Khalim khan mosque,;District;33.46659681;69.6426948
332;10;Shamal;Khost;14;1412010;school, do manda;District;33.28081446;69.5960109
333;11;Spera;Khost;14;1411011;Dandaki Village Mosque;District;33.22181782;69.5393889
334;12;Bak;Khost;14;1409012;Yaqobaio distirc center;District;33.5296396;70.0245324
335;13;Jajimaydan;Khost;14;1413013;Mosque, Mughul khail;District;33.6231509;70.1209541
