PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
3210417,3,3,197,10,0,0,20,3,2,2,0,0,237
3210418,1,0,547,0,0,0,40,0,0,0,0,0,587
3210418,2,0,317,0,0,0,38,4,0,0,0,0,359
3210418,3,0,472,1,0,0,114,2,1,0,0,0,590
3210419,1,301,182,38,1,0,22,26,0,0,2,0,572
3210419,2,281,142,101,0,0,0,5,0,0,0,0,529
3210421,1,0,255,16,0,0,33,1,2,0,0,0,307
3210421,2,0,266,31,0,0,30,0,0,0,0,0,327
3210422,1,0,105,48,0,1,0,0,0,0,1,0,155
3210422,2,0,98,31,0,0,13,2,1,0,0,0,145
3210423,1,0,538,8,0,0,52,0,0,0,0,0,598
3210423,2,0,448,15,0,0,42,0,2,0,2,0,509
3211245,1,1,151,82,0,0,25,31,0,11,0,0,301
3211245,2,1,208,110,0,0,19,52,4,6,0,0,400
3211245,3,3,140,102,0,0,39,58,2,5,0,0,349
3211245,4,1,248,171,2,2,17,96,2,20,1,0,560
3211246,1,0,135,60,0,0,82,47,0,36,1,0,361
3211246,2,1,87,42,0,0,55,31,0,12,1,0,229
3211246,3,0,274,117,3,1,58,84,4,20,3,2,566
3211247,1,2,281,117,0,1,69,40,3,4,0,0,517
3211247,2,1,188,97,0,0,50,18,3,3,0,2,362
3211247,3,1,300,158,2,0,40,47,2,5,0,1,556
3211247,4,1,271,154,0,0,36,107,1,1,1,1,573
3211248,1,1,137,85,0,0,23,91,2,5,1,1,346
3211248,2,1,83,69,0,0,13,56,0,2,2,0,226
3211248,3,3,226,136,1,2,6,185,3,3,2,0,567
3211249,1,0,309,16,0,0,26,28,4,1,4,0,388
3211249,2,0,279,9,0,0,26,14,7,0,0,0,335
3211249,3,0,234,18,0,0,32,22,2,1,1,0,310
3211250,1,0,306,22,0,0,49,24,5,1,0,0,407
3211250,2,0,381,31,0,0,77,31,2,1,0,0,523
3211251,1,0,198,3,0,1,38,5,3,1,0,2,251
3211251,2,1,230,5,0,1,40,6,2,4,0,0,289
3211251,3,0,474,5,0,0,87,7,3,3,0,0,579
3211252,1,3,241,5,0,0,113,23,0,0,0,0,385
3211252,2,8,287,10,0,0,138,36,0,1,0,0,480
3211252,3,7,334,7,0,0,161,61,2,0,0,0,572
3211253,1,1,24,39,2,0,116,21,3,2,0,1,209
3211253,2,0,40,53,1,0,124,27,1,1,1,0,248
3211253,3,1,130,165,4,0,16,67,5,0,1,3,392
3211254,1,1,117,54,0,1,111,70,0,3,0,2,359
3211254,2,0,74,45,1,1,208,60,0,3,0,0,392
3211254,3,0,189,22,0,0,34,67,0,3,1,0,316
3211254,4,0,108,54,0,0,234,0,113,9,0,0,518
3211255,1,1,171,127,0,0,14,106,1,0,0,0,420
3211255,2,1,129,36,0,1,13,117,1,3,0,0,301
3211255,3,0,171,46,0,0,0,58,0,0,0,0,275
3211256,1,2,339,105,0,0,47,35,3,7,0,1,539
3211256,2,1,326,97,0,1,33,44,4,5,2,2,515
3211256,3,1,233,73,1,1,32,25,5,10,2,1,384
3211256,4,0,408,98,1,4,32,31,1,5,0,3,583
3211256,5,0,354,127,0,1,27,51,5,3,0,0,568
3211256,6,0,398,108,0,2,26,34,1,2,0,1,572
3211257,1,1,229,73,1,0,33,19,0,1,1,0,358
3211257,2,0,171,107,1,0,29,28,2,1,0,0,339
3211257,3,3,292,117,0,1,27,32,4,2,0,1,479
3211257,4,1,365,123,0,4,24,45,2,12,4,0,580
3211259,1,0,16,67,0,0,3,36,0,7,0,0,129
3211259,3,0,1,74,0,0,0,30,0,4,0,0,109
3211451,1,3,77,53,0,0,56,26,1,1,0,1,218
