votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,1,ﻪﻧﺍﺩﺭﻣ,ﺱﺍﻭﺳﻣ ﺕﺎﻣﻭﺟ,1201006,ﺎﮑﻳﺗﮑﭘ,677
600,1,ﻪﻧﺍﺩﺭﻣ,ﻪﺳﺭﺩﻣ ﻥﻳﺩﻟﺍ ﺝﺍﺭﺳ یﻭﻟﻭﻣ,1208126,ﺎﮑﻳﺗﮑﭘ,678
600,3,ﻪﻧﺍﺩﺭﻣ,ﻪﺳﺭﺩﻣ ﻥﻳﺩﻟﺍ ﺝﺍﺭﺳ یﻭﻟﻭﻣ,1208126,ﺎﮑﻳﺗﮑﭘ,679
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻝﮔ ﺍﺭﻳﻣ,1211165,ﺎﮑﻳﺗﮑﭘ,680
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻝﮔ ﺍﺭﻳﻣ,1211165,ﺎﮑﻳﺗﮑﭘ,681
600,1,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺩﺭﻳﻣ,1215274,ﺎﮑﻳﺗﮑﭘ,682
600,2,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺩﺭﻳﻣ,1215274,ﺎﮑﻳﺗﮑﭘ,683
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺩﺭﻳﻣ,1215274,ﺎﮑﻳﺗﮑﭘ,684
600,3,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﺕﺳﻭﺩ ﺩﻣﺣﻣ,1207098,ﺎﮑﻳﺗﮑﭘ,685
600,4,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﺕﺳﻭﺩ ﺩﻣﺣﻣ,1207098,ﺎﮑﻳﺗﮑﭘ,686
600,2,ﻪﻧﺍﺩﺭﻣ,ﺏﻭﻘﻌﻳ ﺩﻣﺣﻣ ﺕﺎﻣﻭﺟ,1204058,ﺎﮑﻳﺗﮑﭘ,687
600,1,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺿﻓ ﺡﻼﻣ,1215280,ﺎﮑﻳﺗﮑﭘ,688
600,2,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺿﻓ ﺡﻼﻣ,1215280,ﺎﮑﻳﺗﮑﭘ,689
600,3,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﺿﻓ ﺡﻼﻣ,1215280,ﺎﮑﻳﺗﮑﭘ,690
600,3,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﯽﻧﻏ ﺡﻼﻣ,1209111,ﺎﮑﻳﺗﮑﭘ,691
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻝﮔ ﻪﻌﻣﺟ ﺡﻼﻣ,1205083,ﺎﮑﻳﺗﮑﭘ,692
600,1,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﺩﻧﻣﺳ ﺡﻼﻣ,1210160,ﺎﮑﻳﺗﮑﭘ,693
600,3,ﻪﻧﺍﺩﺭﻣ,ﻪﺳﺭﺩﻣ ﻪﻏﺭﻣ,1214253,ﺎﮑﻳﺗﮑﭘ,694
600,1,ﻪﻧﺍﺩﺭﻣ,ﻝﻳﺧ ﻝﻐﻣ ﺕﺎﻣﻭﺟ,1204062,ﺎﮑﻳﺗﮑﭘ,695
600,3,ﻪﻧﺍﺩﺭﻣ,ﻪﺗﺎﺷ ﻥﺎﮐﻭﺩ ﻡﻳﻌﻧ,1207085,ﺎﮑﻳﺗﮑﭘ,696
600,2,ﻪﻧﺎﻧﺯ,ﮏﻳﻧﻳﻠﮐ ﺏﺍﻭﻧ,1214250,ﺎﮑﻳﺗﮑﭘ,697
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻟﺎﺣ یﻭﻧ,1210147,ﺎﮑﻳﺗﮑﭘ,698
