ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0507078,ﻟﻭﮔﺭ,ﺍﺫﺭﻩ,ﻣﮑﺗﺏ ﻣﻭﺳﯽ ﺧﺎﻥ,ﻗﺭﻳﻪ ﻣﻭﺳﻰ ﺧﺎﻥ,3,2,5
0507079,ﻟﻭﮔﺭ,ﺍﺫﺭﻩ,ﻣﮑﺗﺏ ﻣﺗﻭﺳﻁﻪ ﺭﺍﺯﻯ ﺧﻳﻝ,ﺭﺍﺯﻯ ﺧﻳﻝ,3,2,5
0604103,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ډﺍיﻭ ﺣﺎﺟﻳﺎﻧﻭ ﺟﻭﻣﺎﺕ,ډﺍיﻭ ﮐﻠﻰ,3,0,3
0604104,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ډﺍיﻭ ﻟﻭﻱ ﮐﻠﻲ ﺟﻭﻣﺎﺕ,ډﺍיﻭ ﮐﻠﻰ,0,2,2
0604106,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ﮐﺎﺭﻳﺯ ﺟﺎﻣﻲ ﺟﻭﻣﺎﺕ,ﮐﺎﺭﻳﺯﮐﻠﻲ,2,0,2
0604107,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ﮐﺎﺭﻳﺯ ﺩﮐﻠﻲ ﺟﻭﻣﺎﺕ,ﮐﺎﺭﻳﺯﮐﻠﻲ,0,2,2
0604110,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ﻣﺎؕﻭ ﻟﻳﺳﻪ,ﻣﺎؕﻭﮐﻠﻲ,2,1,3
0604117,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ﺣﺎﻓﻅﺎﻧﻭ ﮐﻠﯽ ﻣﮑﺗﺏ,ﺣﺎﻓﻅﺎﻥ,2,0,2
0604118,ﻧﻧﮕﺭﻫﺎﺭ,ﭼﭘﺭﻫﺎﺭ,ﻋﺑﺩﺍﻟﺭﺣﻣﻥ ﺩﻳﺭﻩ,ﺣﺎﻓﻅﺎﻥ,0,2,2
0605180,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﺎﻣﻪ,ﺣﺿﺭﺕ ﻋﻣﺭ ﻓﺎﺭﻭﻕ ﺟﻭﻣﺎﺕ,ﮐﻭﺯ ﻣﻳﺩﺍﻥ,2,0,2
