 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
2,0,2,ﺭﺎﻬﺑ ﺭﺑ,ﻥﺍﺩﻳﻣ ﺭﺎﻬﺑﺭﺑ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608286
3,1,2,ﺭﺎﻬﺑﺯﻭﮐ,ﻪﺳﻳﻟ ﺭﺎﻬﺑﺯﻭﮐ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608287
3,1,2,ﻪﻠﻣﻳﻣ,ﻪﺳﻳﻟ ﯽﻟﺎﻋ ﻥﺎﺧ ﺭﺩﻳﺣ ﻡﻼﻏ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608295
3,1,2,ﺏﺎﮑﻳﺭﺎﺑ,ﺏﺗﮑﻣ ﺏﺎﮑﻳﺭﺎﺑ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609438
3,1,2,ﻲؕﺍﻭﺷﻳﻣ,ﮏﻳﻧﻳﻠﮐ ﯥؕﺍﻭﺷﻣ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609439
3,1,2,ﻪﻧﺎﺧ ﺭﺎﺑﻧﺍ,ﮏﻳﻧﻳﻠﮐ ﻪﻧﺎﺧ ﺭﺎﺑﻧﺍ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609445
3,1,2,ﻪﻳﮑﺗ,ﺏﺗﮑﻣ ﻪﻳﮑﺗ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609446
2,2,0,ﺩﺎﺑﺁ ﻱﺯﺎﻏ,ﻥﺍﺩﻳﻣ ﺕﺎﻣﻭﺟ ﺕﺭﺎﻳﺯ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609451
3,1,2,ﺭﻭﭘ ﻪﭼﻻ,ﻪﺳﻳﻟ ﻭﻧﺎﮑﻠﻫ,ټﻭﮐ ﻲ ﺑ,ﺭﺎﻫﺭﮕﻧﻧ,0609456
3,1,2,ﻪﻟﻭﭘﺷ, ﻪﺳﻳﻟ ﻭﻧﺎﮑﻠﻫ ﻪﻟﻭﭘﺷ,ﻻﺎﺑ ﻩﺩ,ﺭﺎﻫﺭﮕﻧﻧ,0610330
2,1,1,ﺩﻧﺑﻳﻏﺎﻳ,ﺏﺗﮑﻣ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺩﻧﺑﻳﻏﺎﻳ,ﻻﺎﺑ ﻩﺩ,ﺭﺎﻫﺭﮕﻧﻧ,0610331
3,0,3,ﺭﻳﭼﭘ ﺱﺎﭘ,ﮏﻳﻧﻳﻠﮐ ﺭﻳﭼﭘ,ﻡﺎיﺍ ﻭ ﺭﻳﭼﭘ,ﺭﺎﻫﺭﮕﻧﻧ,0611315
2,2,0,ﯽﻠﮐ سﺟﺭﻭﻏﻻ, ﻝﻳﺧ ﻩﺎﺷﺭﻭﭘ ﺭﻭﮐﺫ ﻪﺳﻳﻟ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613338
3,1,2,ﯽﻠﮐ ﯽﺟﺭﻭﻏﻻ,ﻝﻳﺧ ﻩﺎﺷﺭﻭﭘ ﺙﺎﻧﺍ ﻪﺳﻳﻟ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613339
3,1,2,ﻝﻳﺧﺩﻣﺣﺍ ﺩﻳﺳ,ﻝﻳﺧﺩﻣﺣﺍ ﺩﻳﺳ ﺏﺗﮑﻣ ﻪﻁﺳﻭﺗﻣ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613343
3,0,3,ﯥﻠﮐ ﻲﻧﺍﻭﺩ, ﺕﺎﻣﻭﺟ ﻱﻭﻟ ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613344
2,2,0,ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ﻥﺍﺩﻳﻣ ﯥﻠﮐ ﻲﻧﺍﻭﺩ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613345
3,1,2,ﯽﻠﮐ ﯽךﻧﺗ,ﺏﺗﮑﻣ,ټﻭﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0613517
2,2,0,ﻝﻳﺧﺎיﻭﺧ,ﺭﻭﮐ ﻲﻧﻏ ﻡﻠﻌﻣ ﺭﺍﻭﺟ,ﻪﺗﺷﻭי,ﺭﺎﻫﺭﮕﻧﻧ,0614497
3,1,2,ﯽﻠﮐ ﻕﻭﺩﻧﺻ,ﻩﺭﺟﺣ ﺩﻣﺣﻣ ﻝﮔ ﮏﻠﻣ,ﻥﻳﭼﺍ,ﺭﺎﻫﺭﮕﻧﻧ,0615519
3,3,0, ٢٧ ﻪﻟﺎﻳﻭ,ﺕﺎﻣﻭﺟ ﻥﺎﺧ ﺕﺎﻳﺣ,ﺭﺍﻭﻧﻳﺷ,ﺭﺎﻫﺭﮕﻧﻧ,0616422
